target	name	N	sex	predictor	R2	X95.CI	low	high	p.value	cohort
Waist Circumference	WC	4189	female	GenMetS	0.1178	(0.1008,0.1349)	0.1008	0.1349	3.768e-116	UKBB Asian
Waist Circumference	WC	4603	male	GenMetS	0.0529	(0.0409,0.0649)	0.0409	0.0649	2.62e-56	UKBB Asian
Waist Circumference	WC	191476	female	GenMetS	3.304e-05	(-2.041e-05,8.649e-05)	-2.041e-05	8.649e-05	0.01189	UKBB European
Waist Circumference	WC	165227	male	GenMetS	7.215e-05	(-9.398e-06,2e-04)	-9.398e-06	2e-04	0.0005551	UKBB European
SBP	SBP	4189	female	GenMetS	0.0033	(-2.224e-04,0.0068)	-0.0002224	0.0068	0.0002114	UKBB Asian
SBP	SBP	4603	male	GenMetS	4e-04	(-7.498e-04,0.0015)	-0.0007498	0.0015	0.2038	UKBB Asian
SBP	SBP	191476	female	GenMetS	4.224e-06	(-1.718e-05,2.563e-05)	-1.718e-05	2.563e-05	0.3685	UKBB European
SBP	SBP	165227	male	GenMetS	1.541e-06	(-1.987e-05,2.296e-05)	-1.987e-05	2.296e-05	0.6139	UKBB European
DBP	DBP	4189	female	GenMetS	5e-04	(-8.748e-04,0.0019)	-0.0008748	0.0019	0.1382	UKBB Asian
DBP	DBP	4603	male	GenMetS	8e-04	(-9.556e-04,0.0025)	-0.0009556	0.0025	0.06037	UKBB Asian
DBP	DBP	191476	female	GenMetS	3.622e-05	(-1.95e-05,9.194e-05)	-1.95e-05	9.194e-05	0.008449	UKBB European
DBP	DBP	165227	male	GenMetS	1.407e-05	(-2.594e-05,5.409e-05)	-2.594e-05	5.409e-05	0.1273	UKBB European
TG	TG	4189	female	GenMetS	0.005	(9e-04,0.009)	9e-04	0.009	5.147e-06	UKBB Asian
TG	TG	4603	male	GenMetS	4e-04	(-9.131e-04,0.0017)	-0.0009131	0.0017	0.1877	UKBB Asian
TG	TG	191476	female	GenMetS	4.061e-05	(-1.906e-05,1e-04)	-1.906e-05	1e-04	0.005292	UKBB European
TG	TG	165227	male	GenMetS	7.081e-05	(-1.395e-05,2e-04)	-1.395e-05	2e-04	0.0006249	UKBB European
HDL	HDL	4189	female	GenMetS	0.0446	(0.031,0.0582)	0.031	0.0582	1.853e-43	UKBB Asian
HDL	HDL	4603	male	GenMetS	0.0103	(0.0041,0.0164)	0.0041	0.0164	5.36e-12	UKBB Asian
HDL	HDL	191476	female	GenMetS	1e-04	(1.255e-05,2e-04)	1.255e-05	2e-04	5.516e-06	UKBB European
HDL	HDL	165227	male	GenMetS	6.81e-05	(-1.141e-05,1e-04)	-1.141e-05	1e-04	0.0007956	UKBB European
BMI	BMI	4183	female	GenMetS	0.098	(0.0827,0.1133)	0.0827	0.1133	9.434e-96	UKBB Asian
BMI	BMI	4501	male	GenMetS	0.0186	(0.0116,0.0255)	0.0116	0.0255	4.262e-20	UKBB Asian
BMI	BMI	191197	female	GenMetS	4.575e-05	(-1.818e-05,1e-04)	-1.818e-05	1e-04	0.003101	UKBB European
BMI	BMI	164899	male	GenMetS	1e-04	(7.33e-06,2e-04)	7.33e-06	2e-04	2.3e-05	UKBB European
ObsMetS	ObsMetS	4189	female	GenMetS	0.0563	(0.0409,0.0717)	0.0409	0.0717	1.009e-54	UKBB Asian
ObsMetS	ObsMetS	4603	male	GenMetS	0.0281	(0.0173,0.0389)	0.0173	0.0389	2.3e-30	UKBB Asian
ObsMetS	ObsMetS	191476	female	GenMetS	7.554e-05	(-2.183e-06,2e-04)	-2.183e-06	2e-04	0.0001428	UKBB European
ObsMetS	ObsMetS	165227	male	GenMetS	5.917e-05	(-1.315e-05,1e-04)	-1.315e-05	1e-04	0.001767	UKBB European
Waist Circumference	WC	4189	female	ObsMetS	0.375	(0.3554,0.3946)	0.3554	0.3946	0	UKBB Asian
Waist Circumference	WC	4603	male	ObsMetS	0.2446	(0.2257,0.2634)	0.2257	0.2634	1.473e-282	UKBB Asian
Waist Circumference	WC	191476	female	ObsMetS	0.4018	(0.399,0.4047)	0.399	0.4047	0	UKBB Asian
Waist Circumference	WC	165227	male	ObsMetS	0.3077	(0.3044,0.3109)	0.3044	0.3109	0	UKBB Asian
SBP	SBP	4189	female	ObsMetS	0.1857	(0.167,0.2045)	0.167	0.2045	4.552e-189	UKBB Asian
SBP	SBP	4603	male	ObsMetS	0.0871	(0.0719,0.1024)	0.0719	0.1024	3.238e-93	UKBB Asian
SBP	SBP	191476	female	ObsMetS	0.1788	(0.1757,0.1818)	0.1757	0.1818	0	UKBB Asian
SBP	SBP	165227	male	ObsMetS	0.0877	(0.085,0.0904)	0.085	0.0904	0	UKBB Asian
DBP	DBP	4189	female	ObsMetS	0.1244	(0.107,0.1419)	0.107	0.1419	5.386e-123	UKBB Asian
DBP	DBP	4603	male	ObsMetS	0.0618	(0.0491,0.0745)	0.0491	0.0745	8.921e-66	UKBB Asian
DBP	DBP	191476	female	ObsMetS	0.1357	(0.133,0.1384)	0.133	0.1384	0	UKBB Asian
DBP	DBP	165227	male	ObsMetS	0.0669	(0.0645,0.0693)	0.0645	0.0693	0	UKBB Asian
TG	TG	4189	female	ObsMetS	0.2064	(0.1898,0.2231)	0.1898	0.2231	1.68e-212	UKBB Asian
TG	TG	4603	male	ObsMetS	0.1161	(0.1044,0.1277)	0.1044	0.1277	1.919e-125	UKBB Asian
TG	TG	191476	female	ObsMetS	0.3155	(0.3124,0.3185)	0.3124	0.3185	0	UKBB Asian
TG	TG	165227	male	ObsMetS	0.2273	(0.2245,0.2302)	0.2245	0.2302	0	UKBB Asian
HDL	HDL	4189	female	ObsMetS	0.2312	(0.2096,0.2527)	0.2096	0.2527	2.476e-241	UKBB Asian
HDL	HDL	4603	male	ObsMetS	0.1307	(0.1117,0.1496)	0.1117	0.1496	3.835e-142	UKBB Asian
HDL	HDL	191476	female	ObsMetS	0.1988	(0.1958,0.2019)	0.1958	0.2019	0	UKBB Asian
HDL	HDL	165227	male	ObsMetS	0.184	(0.1807,0.1873)	0.1807	0.1873	0	UKBB Asian
BMI	BMI	4183	female	ObsMetS	0.2619	(0.2428,0.281)	0.2428	0.281	4.891e-278	UKBB Asian
BMI	BMI	4501	male	ObsMetS	0.1673	(0.1503,0.1843)	0.1503	0.1843	3.779e-181	UKBB Asian
BMI	BMI	191197	female	ObsMetS	0.3148	(0.312,0.3177)	0.312	0.3177	0	UKBB Asian
BMI	BMI	164899	male	ObsMetS	0.2668	(0.2636,0.27)	0.2636	0.27	0	UKBB Asian
ObsMetS	ObsMetS	246	female	GenMetS	0.1225	(0.0507,0.1942)	0.0507	0.1942	1.698e-08	ATTRaCT
ObsMetS	ObsMetS	254	male	GenMetS	0.0317	(-6.566e-04,0.0641)	-0.0006566	0.0641	0.004421	ATTRaCT
ObsMetS	ObsMetS	163	girl	GenMetS	0.0755	(-7.778e-03,0.1588)	-0.007778	0.1588	0.0003852	GUSTOchildren6yr
ObsMetS	ObsMetS	158	boy	GenMetS	0.0423	(-1.808e-02,0.1026)	-0.01808	0.1026	0.009568	GUSTOchildren6yr
ObsMetS	ObsMetS	4189	female	GenMetS	0.0563	(0.0409,0.0717)	0.0409	0.0717	1.009e-54	UKBB Asian
ObsMetS	ObsMetS	4603	male	GenMetS	0.0281	(0.0173,0.0389)	0.0173	0.0389	2.3e-30	UKBB Asian
ObsMetS	ObsMetS	191476	female	GenMetS	7.554e-05	(-2.183e-06,2e-04)	-2.183e-06	2e-04	0.0001428	UKBB European
ObsMetS	ObsMetS	165227	male	GenMetS	5.917e-05	(-1.315e-05,1e-04)	-1.315e-05	1e-04	0.001767	UKBB European
