,model,bootstrap_iteration,c_index
124,GenMetS only,24,0.6194029850746269
125,GenMetS only,25,0.48946444249341525
126,GenMetS only,26,0.5616769095697981
127,GenMetS only,27,0.5817603160667252
128,GenMetS only,28,0.5269973661106233
129,GenMetS only,29,0.5204126426690079
130,GenMetS only,30,0.675153643546971
131,GenMetS only,31,0.5132791922739245
132,GenMetS only,32,0.6234635645302897
133,GenMetS only,33,0.5233757682177349
134,GenMetS only,34,0.6382791922739245
135,GenMetS only,35,0.5716637401229149
136,GenMetS only,36,0.5548726953467954
137,GenMetS only,37,0.5890035118525022
138,GenMetS only,38,0.6348770851624231
139,GenMetS only,39,0.5264486391571555
140,GenMetS only,40,0.6221466198419666
141,GenMetS only,41,0.5766022827041264
142,GenMetS only,42,0.5652985074626866
143,GenMetS only,43,0.624451273046532
144,GenMetS only,44,0.5847234416154522
145,GenMetS only,45,0.6031606672519754
146,GenMetS only,46,0.6046971027216856
147,GenMetS only,47,0.6156716417910447
148,GenMetS only,48,0.6028314310798947
149,GenMetS only,49,0.5399473222124671
150,GenMetS only,50,0.5401668129938543
151,GenMetS only,51,0.6040386303775241
152,GenMetS only,52,0.5089991220368745
153,GenMetS only,53,0.6001975417032485
154,GenMetS only,54,0.6343283582089553
155,GenMetS only,55,0.6108428446005267
156,GenMetS only,56,0.6194029850746269
157,GenMetS only,57,0.6015144863915716
158,GenMetS only,58,0.5364354697102721
159,GenMetS only,59,0.6057945566286216
160,GenMetS only,60,0.5981123792800702
161,GenMetS only,61,0.5522388059701493
162,GenMetS only,62,0.5200834064969271
163,GenMetS only,63,0.5784679543459175
164,GenMetS only,64,0.5854916593503073
165,GenMetS only,65,0.5677129060579456
166,GenMetS only,66,0.5533362598770851
167,GenMetS only,67,0.5310579455662863
168,GenMetS only,68,0.6190737489025461
169,GenMetS only,69,0.5478489903424056
170,GenMetS only,70,0.5487269534679543
171,GenMetS only,71,0.5311676909569798
172,GenMetS only,72,0.49791483757682176
173,GenMetS only,73,0.5324846356453029
174,GenMetS only,74,0.5355575065847235
175,GenMetS only,75,0.5430201931518877
176,GenMetS only,76,0.5670544337137841
177,GenMetS only,77,0.5916374012291484
178,GenMetS only,78,0.6496927129060579
179,GenMetS only,79,0.5345697980684812
180,GenMetS only,80,0.5988805970149254
181,GenMetS only,81,0.6202809482001755
182,GenMetS only,82,0.5475197541703248
183,GenMetS only,83,0.6281826163301142
184,GenMetS only,84,0.6478270412642669
185,GenMetS only,85,0.5828577699736611
186,GenMetS only,86,0.6162203687445127
187,GenMetS only,87,0.6549604916593503
188,GenMetS only,88,0.6566066725197541
189,GenMetS only,89,0.5290825285338016
190,GenMetS only,90,0.5706760316066726
191,GenMetS only,91,0.5987708516242318
192,GenMetS only,92,0.604367866549605
193,GenMetS only,93,0.5432396839332748
194,GenMetS only,94,0.6822870939420544
195,GenMetS only,95,0.5952589991220368
196,GenMetS only,96,0.5866988586479368
197,GenMetS only,97,0.5203028972783144
198,GenMetS only,98,0.5787971905179983
199,GenMetS only,99,0.5586040386303776
200,GenMetS + age,0,0.7295873573309921
201,GenMetS + age,1,0.7559262510974539
202,GenMetS + age,2,0.7602063213345039
203,GenMetS + age,3,0.7348551360842844
204,GenMetS + age,4,0.6668129938542581
205,GenMetS + age,5,0.7074187884108868
206,GenMetS + age,6,0.6921641791044776
207,GenMetS + age,7,0.6649473222124671
