,model,bootstrap_iteration,discrimination_slope
145,GenMetS only,45,0.012549698
146,GenMetS only,46,0.026893526
147,GenMetS only,47,0.039417237
148,GenMetS only,48,0.024421006
149,GenMetS only,49,0.027227163
150,GenMetS only,50,0.018179417
151,GenMetS only,51,0.031727433
152,GenMetS only,52,0.009835273
153,GenMetS only,53,0.035897434
154,GenMetS only,54,0.025235295
155,GenMetS only,55,0.045527846
156,GenMetS only,56,0.037695438
157,GenMetS only,57,0.033156782
158,GenMetS only,58,0.01879397
159,GenMetS only,59,0.0242652
160,GenMetS only,60,0.05663532
161,GenMetS only,61,0.019531578
162,GenMetS only,62,0.017141998
163,GenMetS only,63,0.029987931
164,GenMetS only,64,0.025569022
165,GenMetS only,65,0.03134662
166,GenMetS only,66,0.018402785
167,GenMetS only,67,0.015967041
168,GenMetS only,68,0.033382177
169,GenMetS only,69,0.03299278
170,GenMetS only,70,0.029605865
171,GenMetS only,71,0.0065849125
172,GenMetS only,72,0.0076901913
173,GenMetS only,73,0.02224961
174,GenMetS only,74,0.014226198
175,GenMetS only,75,0.016157418
176,GenMetS only,76,0.028637618
177,GenMetS only,77,0.040577978
178,GenMetS only,78,0.03339088
179,GenMetS only,79,0.005649507
180,GenMetS only,80,0.03951338
181,GenMetS only,81,0.044059247
182,GenMetS only,82,0.011237919
183,GenMetS only,83,0.05685237
184,GenMetS only,84,0.03875625
185,GenMetS only,85,0.040098727
186,GenMetS only,86,0.03846097
187,GenMetS only,87,0.058897197
188,GenMetS only,88,0.039904833
189,GenMetS only,89,0.022580862
190,GenMetS only,90,0.023329496
191,GenMetS only,91,0.036047906
192,GenMetS only,92,0.021770477
193,GenMetS only,93,0.032205194
194,GenMetS only,94,0.041365743
195,GenMetS only,95,0.023767889
196,GenMetS only,96,0.020742476
197,GenMetS only,97,-0.0032377243
198,GenMetS only,98,0.025904715
199,GenMetS only,99,0.05441153
200,GenMetS + age,0,0.06901884
201,GenMetS + age,1,0.0680199
202,GenMetS + age,2,0.060094178
203,GenMetS + age,3,0.07269874
204,GenMetS + age,4,0.085535645
205,GenMetS + age,5,0.08800158
206,GenMetS + age,6,0.05386612
207,GenMetS + age,7,0.105496615
208,GenMetS + age,8,0.06545913
209,GenMetS + age,9,0.062607795
210,GenMetS + age,10,0.12297052
211,GenMetS + age,11,0.038233995
212,GenMetS + age,12,0.06003034
213,GenMetS + age,13,0.10340497
214,GenMetS + age,14,0.11622658
215,GenMetS + age,15,0.08076802
216,GenMetS + age,16,0.17472747
217,GenMetS + age,17,0.091082454
218,GenMetS + age,18,0.07810223
219,GenMetS + age,19,0.106615126
220,GenMetS + age,20,0.13550767
221,GenMetS + age,21,0.07717338
222,GenMetS + age,22,0.10599658
223,GenMetS + age,23,0.1144931
224,GenMetS + age,24,0.059063256
225,GenMetS + age,25,0.092498094
226,GenMetS + age,26,0.07777488
227,GenMetS + age,27,0.09235594
228,GenMetS + age,28,0.11309433
229,GenMetS + age,29,0.075663716
230,GenMetS + age,30,0.108695954
231,GenMetS + age,31,0.048830003
232,GenMetS + age,32,0.14714926
233,GenMetS + age,33,0.01587826
234,GenMetS + age,34,0.07854357
235,GenMetS + age,35,0.09984976
236,GenMetS + age,36,0.12099072
237,GenMetS + age,37,0.13234583
238,GenMetS + age,38,0.1916458
239,GenMetS + age,39,0.1285966
240,GenMetS + age,40,0.05373043
241,GenMetS + age,41,0.06726083
242,GenMetS + age,42,0.07038373
243,GenMetS + age,43,0.10864329
244,GenMetS + age,44,0.112656176
245,GenMetS + age,45,0.06755927
246,GenMetS + age,46,0.07110652
247,GenMetS + age,47,0.101713836
248,GenMetS + age,48,0.08186102
249,GenMetS + age,49,0.09099957
250,GenMetS + age,50,0.07113549
251,GenMetS + age,51,0.122048855
252,GenMetS + age,52,0.106205285
253,GenMetS + age,53,0.093105644
254,GenMetS + age,54,0.12791395
255,GenMetS + age,55,0.07383484
256,GenMetS + age,56,0.137452
257,GenMetS + age,57,0.08928552
258,GenMetS + age,58,0.11628881
259,GenMetS + age,59,0.09065756
260,GenMetS + age,60,0.13570103
261,GenMetS + age,61,0.09574023
262,GenMetS + age,62,0.11191812
263,GenMetS + age,63,0.094949216
264,GenMetS + age,64,0.057851583
265,GenMetS + age,65,0.07407001
266,GenMetS + age,66,0.0907214
267,GenMetS + age,67,0.09512091
268,GenMetS + age,68,0.08895391
269,GenMetS + age,69,0.052104264
270,GenMetS + age,70,0.061407864
271,GenMetS + age,71,0.018106103
272,GenMetS + age,72,0.0720194
273,GenMetS + age,73,0.08040103
274,GenMetS + age,74,0.0381909
275,GenMetS + age,75,0.13819036
276,GenMetS + age,76,0.06433281
277,GenMetS + age,77,0.13071987
278,GenMetS + age,78,0.10608083
279,GenMetS + age,79,0.10509661
280,GenMetS + age,80,0.12113634
281,GenMetS + age,81,0.06520599
282,GenMetS + age,82,0.11291692
283,GenMetS + age,83,0.058448583
284,GenMetS + age,84,0.13681087
285,GenMetS + age,85,0.08411318
286,GenMetS + age,86,0.09099007
287,GenMetS + age,87,0.06867647
288,GenMetS + age,88,0.07380238
289,GenMetS + age,89,0.049200356
290,GenMetS + age,90,0.10738361
291,GenMetS + age,91,0.14008224
292,GenMetS + age,92,0.120961785
293,GenMetS + age,93,0.07032415
294,GenMetS + age,94,0.14849433
295,GenMetS + age,95,0.11894253
296,GenMetS + age,96,0.09143531
297,GenMetS + age,97,0.029543221
298,GenMetS + age,98,0.07188088
299,GenMetS + age,99,0.10326028
