,model,bootstrap_iteration,discrimination_slope
146,GenMetS only,46,0.02072084
147,GenMetS only,47,0.019613057
148,GenMetS only,48,0.020744622
149,GenMetS only,49,0.020703912
150,GenMetS only,50,0.019613057
151,GenMetS only,51,0.02072084
152,GenMetS only,52,0.019613057
153,GenMetS only,53,0.02072084
154,GenMetS only,54,0.020703912
155,GenMetS only,55,0.019613057
156,GenMetS only,56,0.020703912
157,GenMetS only,57,0.03152573
158,GenMetS only,58,0.02072084
159,GenMetS only,59,0.02199772
160,GenMetS only,60,0.02072084
161,GenMetS only,61,0.019613057
162,GenMetS only,62,0.019613057
163,GenMetS only,63,0.020703912
164,GenMetS only,64,0.019613057
165,GenMetS only,65,0.020703912
166,GenMetS only,66,0.019613057
167,GenMetS only,67,0.02072084
168,GenMetS only,68,0.019613057
169,GenMetS only,69,0.020703912
170,GenMetS only,70,0.02072084
171,GenMetS only,71,0.02072084
172,GenMetS only,72,0.02072084
173,GenMetS only,73,0.020703912
174,GenMetS only,74,0.020703912
175,GenMetS only,75,0.02072084
176,GenMetS only,76,0.02072084
177,GenMetS only,77,0.019613057
178,GenMetS only,78,0.020744622
179,GenMetS only,79,0.02072084
180,GenMetS only,80,0.020703912
181,GenMetS only,81,0.019613057
182,GenMetS only,82,0.019613057
183,GenMetS only,83,0.019613057
184,GenMetS only,84,0.020703912
185,GenMetS only,85,0.019613057
186,GenMetS only,86,0.020703912
187,GenMetS only,87,0.019613057
188,GenMetS only,88,0.02072084
189,GenMetS only,89,0.019613057
190,GenMetS only,90,0.019613057
191,GenMetS only,91,0.019613057
192,GenMetS only,92,0.019613057
193,GenMetS only,93,0.019613057
194,GenMetS only,94,0.020744622
195,GenMetS only,95,0.024606824
196,GenMetS only,96,0.022052526
197,GenMetS only,97,0.03152573
198,GenMetS only,98,0.020703912
199,GenMetS only,99,0.020703912
200,GenMetS + age,0,0.11482927
201,GenMetS + age,1,0.12914112
202,GenMetS + age,2,0.08237198
203,GenMetS + age,3,0.08237198
204,GenMetS + age,4,0.11653826
205,GenMetS + age,5,0.115332484
206,GenMetS + age,6,0.050375104
207,GenMetS + age,7,0.08232874
208,GenMetS + age,8,0.12914112
209,GenMetS + age,9,0.11615813
210,GenMetS + age,10,0.11482927
211,GenMetS + age,11,0.081905395
212,GenMetS + age,12,0.11017135
213,GenMetS + age,13,0.11615813
214,GenMetS + age,14,0.11017135
215,GenMetS + age,15,0.08411887
216,GenMetS + age,16,0.11311117
217,GenMetS + age,17,0.08185011
218,GenMetS + age,18,0.11017135
219,GenMetS + age,19,0.12911326
220,GenMetS + age,20,0.11017135
221,GenMetS + age,21,0.08185011
222,GenMetS + age,22,0.12914112
223,GenMetS + age,23,0.11482927
224,GenMetS + age,24,0.081905395
225,GenMetS + age,25,0.11017135
226,GenMetS + age,26,0.12914112
227,GenMetS + age,27,0.08411887
228,GenMetS + age,28,0.11482927
229,GenMetS + age,29,0.08232874
230,GenMetS + age,30,0.12911326
231,GenMetS + age,31,0.07845712
232,GenMetS + age,32,0.050375104
233,GenMetS + age,33,0.11482927
234,GenMetS + age,34,0.07845712
235,GenMetS + age,35,0.12911326
236,GenMetS + age,36,0.11017135
237,GenMetS + age,37,0.13008556
238,GenMetS + age,38,0.08411887
239,GenMetS + age,39,0.11482927
240,GenMetS + age,40,0.115332484
241,GenMetS + age,41,0.08411887
242,GenMetS + age,42,0.08411887
243,GenMetS + age,43,0.08411887
244,GenMetS + age,44,0.11482927
245,GenMetS + age,45,0.11482927
246,GenMetS + age,46,0.049362957
247,GenMetS + age,47,0.12914112
248,GenMetS + age,48,0.08411887
249,GenMetS + age,49,0.08232874
250,GenMetS + age,50,0.11017135
251,GenMetS + age,51,0.12911326
252,GenMetS + age,52,0.11482927
253,GenMetS + age,53,0.11017135
254,GenMetS + age,54,0.12914112
255,GenMetS + age,55,0.050375104
256,GenMetS + age,56,0.11615813
257,GenMetS + age,57,0.082435906
258,GenMetS + age,58,0.050375104
259,GenMetS + age,59,0.08411887
260,GenMetS + age,60,0.12914112
261,GenMetS + age,61,0.08185011
262,GenMetS + age,62,0.081837445
263,GenMetS + age,63,0.115332484
264,GenMetS + age,64,0.11482927
265,GenMetS + age,65,0.08232874
266,GenMetS + age,66,0.12914112
267,GenMetS + age,67,0.12914112
268,GenMetS + age,68,0.08237198
269,GenMetS + age,69,0.081905395
270,GenMetS + age,70,0.051896602
271,GenMetS + age,71,0.12914112
272,GenMetS + age,72,0.07777375
273,GenMetS + age,73,0.08411887
274,GenMetS + age,74,0.08411887
275,GenMetS + age,75,0.12914112
276,GenMetS + age,76,0.11482927
277,GenMetS + age,77,0.11017135
278,GenMetS + age,78,0.050375104
279,GenMetS + age,79,0.050375104
280,GenMetS + age,80,0.11482927
281,GenMetS + age,81,0.08411887
282,GenMetS + age,82,0.11017135
283,GenMetS + age,83,0.08411887
284,GenMetS + age,84,0.082435906
285,GenMetS + age,85,0.08232874
286,GenMetS + age,86,0.11017135
287,GenMetS + age,87,0.12914112
288,GenMetS + age,88,0.050375104
289,GenMetS + age,89,0.12914112
290,GenMetS + age,90,0.12914112
291,GenMetS + age,91,0.08411887
292,GenMetS + age,92,0.12914112
293,GenMetS + age,93,0.12914112
294,GenMetS + age,94,0.12911326
295,GenMetS + age,95,0.049362957
296,GenMetS + age,96,0.12914112
297,GenMetS + age,97,0.08411887
298,GenMetS + age,98,0.050375104
299,GenMetS + age,99,0.12911326
300,Age Only,0,0.090194136
301,Age Only,1,0.06568152
302,Age Only,2,0.09995058
303,Age Only,3,0.06571549
304,Age Only,4,0.06571549
305,Age Only,5,0.105991244
306,Age Only,6,0.09995058
307,Age Only,7,0.06571549
308,Age Only,8,0.06571549
309,Age Only,9,0.10411331
310,Age Only,10,0.08995125
311,Age Only,11,0.06571549
312,Age Only,12,0.06571549
313,Age Only,13,0.06571549
314,Age Only,14,0.10103056
315,Age Only,15,0.06571549
316,Age Only,16,0.08995125
317,Age Only,17,0.06571549
318,Age Only,18,0.09995058
319,Age Only,19,0.06568152
320,Age Only,20,0.06571549
321,Age Only,21,0.06571549
322,Age Only,22,0.06571549
323,Age Only,23,0.06571549
324,Age Only,24,0.105991244
325,Age Only,25,0.10103056
326,Age Only,26,0.06568152
327,Age Only,27,0.06571549
328,Age Only,28,0.06571549
329,Age Only,29,0.10103056
330,Age Only,30,0.06568152
331,Age Only,31,0.06571549
332,Age Only,32,0.10103056
333,Age Only,33,0.06571549
334,Age Only,34,0.06571549
335,Age Only,35,0.06571549
336,Age Only,36,0.06571549
337,Age Only,37,0.06571549
338,Age Only,38,0.08995125
339,Age Only,39,0.06571549
340,Age Only,40,0.06571549
341,Age Only,41,0.06571549
342,Age Only,42,0.06571549
343,Age Only,43,0.10103056
344,Age Only,44,0.06571549
345,Age Only,45,0.06571549
346,Age Only,46,0.06571549
347,Age Only,47,0.09995058
348,Age Only,48,0.06571549
349,Age Only,49,0.06571549
350,Age Only,50,0.06571549
351,Age Only,51,0.06571549
352,Age Only,52,0.09995058
353,Age Only,53,0.06571549
354,Age Only,54,0.06571549
355,Age Only,55,0.06571549
356,Age Only,56,0.06571549
357,Age Only,57,0.06571549
358,Age Only,58,0.06571549
359,Age Only,59,0.06571549
360,Age Only,60,0.06571549
361,Age Only,61,0.08995125
362,Age Only,62,0.06568152
363,Age Only,63,0.066210926
364,Age Only,64,0.06571549
365,Age Only,65,0.105991244
366,Age Only,66,0.06571549
367,Age Only,67,0.06568152
368,Age Only,68,0.09995058
369,Age Only,69,0.066210926
370,Age Only,70,0.06571549
371,Age Only,71,0.066210926
372,Age Only,72,0.08995125
373,Age Only,73,0.06571549
374,Age Only,74,0.06571549
375,Age Only,75,0.066210926
376,Age Only,76,0.06571549
377,Age Only,77,0.06571549
378,Age Only,78,0.06571549
379,Age Only,79,0.09995058
380,Age Only,80,0.09995058
381,Age Only,81,0.105991244
382,Age Only,82,0.10411331
383,Age Only,83,0.09995058
384,Age Only,84,0.06571549
385,Age Only,85,0.09995058
386,Age Only,86,0.06571549
387,Age Only,87,0.08995125
388,Age Only,88,0.06568152
389,Age Only,89,0.06571549
390,Age Only,90,0.09995058
391,Age Only,91,0.08995125
392,Age Only,92,0.06571549
393,Age Only,93,0.10103056
394,Age Only,94,0.06571549
395,Age Only,95,0.06571549
396,Age Only,96,0.06571549
397,Age Only,97,0.06571549
398,Age Only,98,0.09995058
399,Age Only,99,0.06571549
400,covariates only,0,0.06664953
401,covariates only,1,0.097050816
402,covariates only,2,0.09279603
403,covariates only,3,0.09621489
404,covariates only,4,0.044229835
405,covariates only,5,0.0950844
406,covariates only,6,0.10248405
407,covariates only,7,0.10034624
408,covariates only,8,0.044252127
409,covariates only,9,0.097050816
410,covariates only,10,0.10248405
411,covariates only,11,0.09500879
412,covariates only,12,0.10034624
413,covariates only,13,0.06681812
414,covariates only,14,0.10034624
415,covariates only,15,0.04423511
416,covariates only,16,0.10034624
417,covariates only,17,0.044252127
418,covariates only,18,0.059499145
419,covariates only,19,0.065431684
420,covariates only,20,0.10809055
421,covariates only,21,0.10809055
422,covariates only,22,0.065431684
423,covariates only,23,0.09928101
424,covariates only,24,0.065431684
425,covariates only,25,0.11205658
426,covariates only,26,0.11205658
427,covariates only,27,0.065431684
428,covariates only,28,0.04423511
429,covariates only,29,0.09621489
430,covariates only,30,0.10248405
431,covariates only,31,0.06664953
432,covariates only,32,0.066717505
433,covariates only,33,0.097050816
434,covariates only,34,0.09500879
435,covariates only,35,0.104228705
436,covariates only,36,0.06664953
437,covariates only,37,0.11252642
438,covariates only,38,0.065431684
439,covariates only,39,0.065431684
440,covariates only,40,0.09621489
441,covariates only,41,0.08751762
442,covariates only,42,0.11578062
443,covariates only,43,0.10130754
444,covariates only,44,0.0950844
445,covariates only,45,0.04082489
446,covariates only,46,0.065431684
447,covariates only,47,0.097050816
448,covariates only,48,0.08605453
