,model,bootstrap_iteration,c_index
124,GenMetS only,24,0.5645302897278315
125,GenMetS only,25,0.5645302897278315
126,GenMetS only,26,0.5652985074626866
127,GenMetS only,27,0.5645302897278315
128,GenMetS only,28,0.5652985074626866
129,GenMetS only,29,0.5756145741878841
130,GenMetS only,30,0.5652985074626866
131,GenMetS only,31,0.5693590869183495
132,GenMetS only,32,0.5763827919227392
133,GenMetS only,33,0.5763827919227392
134,GenMetS only,34,0.5652985074626866
135,GenMetS only,35,0.5652985074626866
136,GenMetS only,36,0.5645302897278315
137,GenMetS only,37,0.5674934152765584
138,GenMetS only,38,0.5652985074626866
139,GenMetS only,39,0.5652985074626866
140,GenMetS only,40,0.5497146619841967
141,GenMetS only,41,0.5756145741878841
142,GenMetS only,42,0.5674934152765584
143,GenMetS only,43,0.5645302897278315
144,GenMetS only,44,0.5652985074626866
145,GenMetS only,45,0.5652985074626866
146,GenMetS only,46,0.5674934152765584
147,GenMetS only,47,0.5652985074626866
148,GenMetS only,48,0.5652985074626866
149,GenMetS only,49,0.5645302897278315
150,GenMetS only,50,0.5763827919227392
151,GenMetS only,51,0.5652985074626866
152,GenMetS only,52,0.5652985074626866
153,GenMetS only,53,0.5674934152765584
154,GenMetS only,54,0.5645302897278315
155,GenMetS only,55,0.5763827919227392
156,GenMetS only,56,0.5652985074626866
157,GenMetS only,57,0.5763827919227392
158,GenMetS only,58,0.5645302897278315
159,GenMetS only,59,0.5652985074626866
160,GenMetS only,60,0.5652985074626866
161,GenMetS only,61,0.5645302897278315
162,GenMetS only,62,0.5652985074626866
163,GenMetS only,63,0.5645302897278315
164,GenMetS only,64,0.5645302897278315
165,GenMetS only,65,0.5652985074626866
166,GenMetS only,66,0.5645302897278315
167,GenMetS only,67,0.5652985074626866
168,GenMetS only,68,0.5669446883230904
169,GenMetS only,69,0.5756145741878841
170,GenMetS only,70,0.5656277436347673
171,GenMetS only,71,0.5756145741878841
172,GenMetS only,72,0.5645302897278315
173,GenMetS only,73,0.5763827919227392
174,GenMetS only,74,0.5652985074626866
175,GenMetS only,75,0.5652985074626866
176,GenMetS only,76,0.5645302897278315
177,GenMetS only,77,0.5674934152765584
178,GenMetS only,78,0.5645302897278315
179,GenMetS only,79,0.5645302897278315
180,GenMetS only,80,0.5763827919227392
181,GenMetS only,81,0.5645302897278315
182,GenMetS only,82,0.5756145741878841
183,GenMetS only,83,0.5763827919227392
184,GenMetS only,84,0.5652985074626866
185,GenMetS only,85,0.5645302897278315
186,GenMetS only,86,0.5652985074626866
187,GenMetS only,87,0.5763827919227392
188,GenMetS only,88,0.5763827919227392
189,GenMetS only,89,0.5645302897278315
190,GenMetS only,90,0.5756145741878841
191,GenMetS only,91,0.5652985074626866
192,GenMetS only,92,0.5652985074626866
193,GenMetS only,93,0.5652985074626866
194,GenMetS only,94,0.5652985074626866
195,GenMetS only,95,0.5627743634767339
196,GenMetS only,96,0.5756145741878841
197,GenMetS only,97,0.5652985074626866
198,GenMetS only,98,0.5756145741878841
199,GenMetS only,99,0.5652985074626866
200,GenMetS + age,0,0.7900570676031606
201,GenMetS + age,1,0.7991659350307287
202,GenMetS + age,2,0.7900570676031606
203,GenMetS + age,3,0.7965320456540825
204,GenMetS + age,4,0.7900570676031606
205,GenMetS + age,5,0.7900570676031606
206,GenMetS + age,6,0.7853380158033363
207,GenMetS + age,7,0.7599868305531168
208,GenMetS + age,8,0.7797410008779632
209,GenMetS + age,9,0.7850087796312555
210,GenMetS + age,10,0.7525241439859526
211,GenMetS + age,11,0.7715100965759438
212,GenMetS + age,12,0.7715100965759438
213,GenMetS + age,13,0.7900570676031606
214,GenMetS + age,14,0.7675592625109745
215,GenMetS + age,15,0.7678884986830553
216,GenMetS + age,16,0.7732660228270413
217,GenMetS + age,17,0.7599868305531168
218,GenMetS + age,18,0.7900570676031606
219,GenMetS + age,19,0.7630597014925373
220,GenMetS + age,20,0.7820456540825286
221,GenMetS + age,21,0.7708516242317822
222,GenMetS + age,22,0.7797410008779632
223,GenMetS + age,23,0.7599868305531168
224,GenMetS + age,24,0.7727172958735733
225,GenMetS + age,25,0.7703028972783144
226,GenMetS + age,26,0.759108867427568
227,GenMetS + age,27,0.7708516242317822
228,GenMetS + age,28,0.7746927129060579
229,GenMetS + age,29,0.7799604916593503
230,GenMetS + age,30,0.7599868305531168
