,model,bootstrap_iteration,discrimination_slope
146,GenMetS only,46,0.028903276
147,GenMetS only,47,0.04013571
148,GenMetS only,48,0.028903276
149,GenMetS only,49,0.042617172
150,GenMetS only,50,0.04266432
151,GenMetS only,51,0.042617172
152,GenMetS only,52,0.029320836
153,GenMetS only,53,0.028607756
154,GenMetS only,54,0.040561706
155,GenMetS only,55,0.02238664
156,GenMetS only,56,0.029320836
157,GenMetS only,57,0.028903276
158,GenMetS only,58,0.040561706
159,GenMetS only,59,0.04266432
160,GenMetS only,60,0.029827923
161,GenMetS only,61,0.029320836
162,GenMetS only,62,0.029278696
163,GenMetS only,63,0.028903276
164,GenMetS only,64,0.028161585
165,GenMetS only,65,0.04062587
166,GenMetS only,66,0.040561706
167,GenMetS only,67,0.04013571
168,GenMetS only,68,0.02238664
169,GenMetS only,69,0.029827923
170,GenMetS only,70,0.037885576
171,GenMetS only,71,0.024485528
172,GenMetS only,72,0.04266432
173,GenMetS only,73,0.028903276
174,GenMetS only,74,0.04062587
175,GenMetS only,75,0.042617172
176,GenMetS only,76,0.02238664
177,GenMetS only,77,0.028903276
178,GenMetS only,78,0.040561706
179,GenMetS only,79,0.029278696
180,GenMetS only,80,0.042617172
181,GenMetS only,81,0.029320836
182,GenMetS only,82,0.029827923
183,GenMetS only,83,0.029320836
184,GenMetS only,84,0.029320836
185,GenMetS only,85,0.029320836
186,GenMetS only,86,0.024411082
187,GenMetS only,87,0.04062587
188,GenMetS only,88,0.029827923
189,GenMetS only,89,0.043957323
190,GenMetS only,90,0.04013571
191,GenMetS only,91,0.02238664
192,GenMetS only,92,0.028607756
193,GenMetS only,93,0.028903276
194,GenMetS only,94,0.029827923
195,GenMetS only,95,0.029278696
196,GenMetS only,96,0.043957323
197,GenMetS only,97,0.024485528
198,GenMetS only,98,0.029827923
199,GenMetS only,99,0.028903276
200,GenMetS + age,0,0.050514996
201,GenMetS + age,1,0.11600137
202,GenMetS + age,2,0.050738305
203,GenMetS + age,3,0.11600137
204,GenMetS + age,4,0.050738305
205,GenMetS + age,5,0.05075252
206,GenMetS + age,6,0.050514996
207,GenMetS + age,7,0.050323397
208,GenMetS + age,8,0.120704085
209,GenMetS + age,9,0.12956327
210,GenMetS + age,10,0.116363406
211,GenMetS + age,11,0.12179217
212,GenMetS + age,12,0.11944732
213,GenMetS + age,13,0.13318092
