,model,bootstrap_iteration,c_index
124,GenMetS only,24,0.5918820539822807
125,GenMetS only,25,0.5811222270552414
126,GenMetS only,26,0.5665392275817861
127,GenMetS only,27,0.568668299718413
128,GenMetS only,28,0.5665392275817861
129,GenMetS only,29,0.5687598727135368
130,GenMetS only,30,0.5698244087818503
131,GenMetS only,31,0.56589821661592
132,GenMetS only,32,0.5687598727135368
133,GenMetS only,33,0.59382798012866
134,GenMetS only,34,0.5779744053478629
135,GenMetS only,35,0.568691192967194
136,GenMetS only,36,0.5956937799043063
137,GenMetS only,37,0.596082965133582
138,GenMetS only,38,0.5918820539822807
139,GenMetS only,39,0.5697328357867265
140,GenMetS only,40,0.5698244087818503
141,GenMetS only,41,0.5956937799043063
142,GenMetS only,42,0.5687598727135368
143,GenMetS only,43,0.5956937799043063
144,GenMetS only,44,0.5698244087818503
145,GenMetS only,45,0.568691192967194
146,GenMetS only,46,0.5698244087818503
147,GenMetS only,47,0.5779744053478629
148,GenMetS only,48,0.5698244087818503
149,GenMetS only,49,0.5918820539822807
150,GenMetS only,50,0.5956937799043063
151,GenMetS only,51,0.5918820539822807
152,GenMetS only,52,0.5665392275817861
153,GenMetS only,53,0.5697328357867265
154,GenMetS only,54,0.596082965133582
155,GenMetS only,55,0.56589821661592
156,GenMetS only,56,0.5665392275817861
157,GenMetS only,57,0.5698244087818503
158,GenMetS only,58,0.596082965133582
159,GenMetS only,59,0.5956937799043063
160,GenMetS only,60,0.5687598727135368
161,GenMetS only,61,0.5665392275817861
162,GenMetS only,62,0.568691192967194
163,GenMetS only,63,0.5698244087818503
164,GenMetS only,64,0.5664476545866624
165,GenMetS only,65,0.59382798012866
166,GenMetS only,66,0.596082965133582
167,GenMetS only,67,0.5779744053478629
168,GenMetS only,68,0.56589821661592
169,GenMetS only,69,0.5687598727135368
170,GenMetS only,70,0.5864334607724182
171,GenMetS only,71,0.5811222270552414
172,GenMetS only,72,0.5956937799043063
173,GenMetS only,73,0.5698244087818503
174,GenMetS only,74,0.59382798012866
175,GenMetS only,75,0.5918820539822807
176,GenMetS only,76,0.56589821661592
177,GenMetS only,77,0.5698244087818503
178,GenMetS only,78,0.596082965133582
179,GenMetS only,79,0.568691192967194
180,GenMetS only,80,0.5918820539822807
181,GenMetS only,81,0.5665392275817861
182,GenMetS only,82,0.5687598727135368
183,GenMetS only,83,0.5665392275817861
184,GenMetS only,84,0.5665392275817861
185,GenMetS only,85,0.5665392275817861
186,GenMetS only,86,0.5774020741283395
187,GenMetS only,87,0.59382798012866
188,GenMetS only,88,0.5687598727135368
189,GenMetS only,89,0.6039696893386141
190,GenMetS only,90,0.5779744053478629
191,GenMetS only,91,0.56589821661592
192,GenMetS only,92,0.5697328357867265
193,GenMetS only,93,0.5698244087818503
194,GenMetS only,94,0.5687598727135368
195,GenMetS only,95,0.568691192967194
196,GenMetS only,96,0.6039696893386141
197,GenMetS only,97,0.5811222270552414
198,GenMetS only,98,0.5687598727135368
199,GenMetS only,99,0.5698244087818503
200,GenMetS + age,0,0.7083629037796754
201,GenMetS + age,1,0.7080080584235708
202,GenMetS + age,2,0.7080652915455232
203,GenMetS + age,3,0.7080080584235708
204,GenMetS + age,4,0.7080652915455232
205,GenMetS + age,5,0.7080652915455232
206,GenMetS + age,6,0.7083629037796754
207,GenMetS + age,7,0.7071839014674572
208,GenMetS + age,8,0.7129530001602528
209,GenMetS + age,9,0.7128156406675671
210,GenMetS + age,10,0.7126782811748815
211,GenMetS + age,11,0.7133879718870905
212,GenMetS + age,12,0.7105148691650832
213,GenMetS + age,13,0.709187060735789
214,GenMetS + age,14,0.7080652915455232
215,GenMetS + age,15,0.7083629037796754
216,GenMetS + age,16,0.7080080584235708
